question,passage,idx,label
Был ли фестиваль собачьего мяса 2019?,"Юйлинь  — городской округ в Гуанси-Чжуанском автономном районе КНР. Городской округ Юйлинь делится на 1 район, 1 городской уезд, 4 уезда: Район Юйчжоу  Городской уезд Бэйлю  Уезд Бобай  Уезд Жунсянь  Уезд Лучуань  Уезд Синъе  Юйлинь имеет красивые природные окрестности. Он знаменит множеством минеральных источников и одной из старейших и наиболее известных китайских пагод — Пагодой Шии . Ежегодно летом проводится Юйлиньский фестиваль собачьего мяса. В городе находится Юйлиньский педагогический университет .",11,1
Правда ли что доширак неизвестен в корее?,"Кэджан или кядян или кятяй — острый суп из собачьего мяса с рисом и зеленью, используется для профилактики и лечения заболеваний дыхательной системы. Посинтхан — суп-каша из собачьего мяса, употребляется, в основном, летом в качестве тонизирующего и укрепляющего средства. Лапша быстрого приготовления рамён — популярное блюдо фаст-фуда, напоминающее куксу. Появилось в рационе корейцев в 1963 году и сначала не пользовалось популярностью, это был быстрый и дешёвый способ накормить голодное население. Некоторые корейские марки завоевали мировую известность, например доширак.",12,0
Состоит ли финляндия в нато с самого начала?,"НА́ТО, Организа́ция Североатланти́ческого догово́ра, Североатлантический Альянс  — военно-политический блок, объединяющий большинство стран Европы , США и Канаду. Основан 4 апреля 1949 года в США с целью защиты Европы от советского влияния. Тогда государствами — членами НАТО стали 12 стран: США, Канада, Исландия, Великобритания, Франция, Бельгия, Нидерланды, Люксембург, Норвегия, Дания, Италия и Португалия. Это «трансатлантический форум» для проведения странами-союзниками консультаций по любым вопросам, затрагивающим жизненно важные интересы его членов, включая события, способные поставить под угрозу их безопасность. Одной из заявленных целей НАТО является обеспечение сдерживания любой формы агрессии в отношении территории любого государства — члена НАТО или защиты от неё.",13,0
Едят ли яйца веганы?,"Вега́нство  — наиболее строгая форма вегетарианства, исключающая потребление продуктов животного происхождения. Вeга́н  — человек, следующий принципам веганства. Веганы отказываются от потребления всех видов мяса, молока , яиц, мёда, а также других веществ и добавок, произведённых с использованием животных . Кроме того, веганы не используют одежду и другие бытовые предметы из продуктов животного происхождения , а также отказываются от бытовой химии и косметики, протестированной на животных. Веганы не поддерживают цирки с животными, зоопарки, дельфинарии и другие развлечения, предполагающие использование животных.",14,0
Правда ли что живопись не является видом изобразительного искусства?,"Жи́вопись — вид изобразительного искусства, основанный на живописном, так называемом далевом смотрении на натуру, при котором основным является восприятие объекта во взаимосвязи с пространственной и свето-воздушной средой. При перенесении живописного образа на плоскость холста, деревянной доски, картона или бумаги изобразительная поверхность уподобляется трёхмерному пространству. В этом заключается главное отличие живописного искусства от искусства графики. Отсюда понятие «далевой зрительный образ». Мера воображаемой глубинности изображения, пространственности и объёмности изображаемых предметов, степени их окрашенности, освещённости, материальности, разумеется, и в живописи, и в графике, может быть различной, поэтому в творческой практике сохраняются переходные формы: графичная живопись, живописный рисунок, цветная графика, гризайль, акварель и гуашь. Но принципиальные различия вѝдения, «смотрения» на натуру художника-живописца и художника-графика сохраняются, хотя и варьируются на протяжении творческого процесса.",15,0
Полезна ли для здоровья ртуть из разбитого градусника?,"Ртуть  — элемент шестого периода периодической системы химических элементов Д. И. Менделеева с атомным номером 80, относящийся к подгруппе цинка, 12-й группе . Простое вещество ртуть — переходный металл, при комнатной температуре представляющий собой тяжёлую серебристо-белую жидкость, пары которой чрезвычайно ядовиты, контаминант. Ртуть — один из двух химических элементов , простые вещества которых при нормальных условиях находятся в жидком агрегатном состоянии . Ртуть известна с древних времён. Нередко её находили в самородном виде , но чаще получали обжигом природной киновари.",16,0
Правда ли что в брестской крепости не было чеченцев?,"В обороне Брестской крепости участвовали 420 выходцев из Чечено-Ингушетии, из которых 270 были горцами. Одним из защитников Брестской крепости был Магомед Узуев, которому в 1996 году посмертно было присвоено звание Героя Российской Федерации. С 24 июня по 10 июля 1941 года более 17 тысяч жителей республики записались в народное ополчение, из них около 10 тысяч составляли вайнахи. На территории Чечено-Ингушетии были сформированы 317-я стрелковая дивизия и 114-й чечено-ингушский кавалерийский дивизион на 80 % состоявший из горцев. Эти воинские формирования сражались на моздокско-малгобекском направлении.",17,0
Были ли у льва толстого три сестры?,"Вскоре после отставки вынужден был пойти на чиновничью службу, чтобы не оказаться в долговой тюрьме из-за долгов отца, казанского губернатора, умершего под следствием за служебные злоупотребления. Отрицательный пример отца помог выработать Николаю Ильичу свой жизненный идеал — частная независимая жизнь с семейными радостями. Чтобы привести свои расстроенные дела в порядок, Николай Ильич, женился на уже не очень молодой княжне Марии Николаевне из рода Волконских в 1822 г., брак был счастливый. У них было пятеро детей: Николай, Сергей, Дмитрий , Лев, Мария. Дед Толстого по матери, екатерининский генерал, князь Николай Сергеевич Волконский, имел некоторое сходство с суровым ригористом — старым князем Болконским в «Войне и мире».",18,0
Гражданской войны в китае не было?,"В мае-июне 1946 года 310-тысячная группировка гоминьдановских войск начала наступление на 60-тысячную группировку Ли Сяньняня, оборонявшую Хэнань — Хубэйский советский район. В июне полумиллионная гоминьдановская группировка начала наступление на группировку Чэнь И в Шаньдун — Аньхой — Цзянсуском советском районе. Войска Ху Цзуннаня и Янь Сишаня ударили вдоль железной дороги Датун — Пукоу против группировок войск Хэ Луна и Лю Бочэна в южных частях Шэньси и Шаньси. Вдоль железной дороги Баотоу — Чжанцзякоу войска Фу Цзои развернули наступление против войск Не Жунчжэня. Началась полномасштабная гражданская война.",19,0
Была ли болгария в ссср?,"Болгария официально вступила во Вторую мировую войну на стороне стран Оси 13 декабря 1941 года, объявив войну США и Великобритании, однако была единственной союзницей Германии, которая не разорвала дипотношения с СССР и, как следствие, не воевавшей против СССР. Советский Союз объявил войну Болгарии 5 сентября 1944 года. В сентябре 1944 года после капитуляции Королевства Румыния, когда театр военных действий переместился в Болгарию, в стране произошёл государственный переворот 9-го сентября 1944 года. Ряд деятелей прогерманского режима, включая князя Кирилла , бывшего премьер-министра Богдана Филова и др. были арестованы  и к власти пришло правительство Отечественного фронта во главе с Кимоном Георгиевым.",20,0
Едят ли хлеб в америке?,"Кукурузный хлеб — традиционная выпечка в национальной кухне США. Считается, что это блюдо перешло в современную американскую кухню от коренных народов, населявших Североамериканский континент. Наиболее распространен кукурузный хлеб в южных штатах США, хотя пекут его на всей территории страны. В зависимости от региона рецептура может варьироваться. Так, на Юге принято печь хлеб исключительно из кукурузной муки, а вот на Севере кукурузную муку смешивают с пшеничной в пропорции 1:1.",21,1
Правда ли у вина не бывает срока годности?,"Готовое натуральное медовое вино перекачивают в ёмкость для разлива, а затем фасуют в потребительскую тару. Срок годности продукта 1 год при хранении в температуре от 0 до 16° С. Десертные вина из мёда следует пить охлаждёнными. Медо́вое пиво — слабоалкогольный напиток, получаемый спиртовым брожением медовой сыты с хмелем, иногда с добавлением пивных дрожжей. По классификации Mazer Cup International коммерческие сорта медового пива должны содержать не менее 20% мёда. По классификации BJCP медовое пиво, или Braggot, должно содержать не менее 50% мёда.",22,0
Луна это планета?,"Луна́ — единственный естественный спутник Земли. Самый близкий к Солнцу спутник планеты, так как у ближайших к Солнцу планет  их нет. Второй по яркости объект на земном небосводе после Солнца и пятый по величине естественный спутник планеты Солнечной системы. Среднее расстояние между центрами Земли и Луны — 384 467 км . Видимая звёздная величина полной Луны на земном небе — −12,71m. Освещённость, создаваемая полной Луной возле поверхности Земли при ясной погоде, составляет 0,25 — 1 лк.",23,0
Был ли голодомор в казахстане?,"Голод в Казахстане 1932—33 годов  — часть общесоюзного голода 1931—33 годов, вызванного официальной политикой «уничтожение кулачества как класса», коллективизацией, увеличением центральными властями плана заготовок продовольствия, а также, фактически, конфискацией скота. В Казахстане также принято называть этот голод «голощёкинским». Во время массового голода были зафиксированы многочисленные случаи каннибализма и людоедства. В 1925 году первым секретарём Казкрайкома был назначен известный деятель ВКП Филипп Голощёкин. В первые два года своего правления  он провёл в Казахском крае.",24,1
Сумели ли викинги поладить с индейцами?,"Потомки Эрика Рыжего предприняли ещё две попытки колонизировать Винланд. В первой участвовала его невестка Гудрид. Обосновавшись в Америке, она преуспела в торговле со скрелингами, но все-таки покинула Америку. Вторую же возглавляла дочь Эрика Рыжего Фрейдис, но ей не удалось наладить добрые отношения с индейцами, и викинги покинули Винланд. Таким образом, поселение в Винланде просуществовало несколько десятков лет.",25,0
Правда ли что в ссср не было концлагерей?,"Гла́вное управле́ние лагере́й  — подразделение НКВД СССР, МВД СССР, Министерства юстиции СССР, осуществлявшее руководство местами заключения и содержания в 1930—1960 годах. В дальнейшем ведомство было переименовано в ГУИН . В настоящее время преобразовано во ФСИН . Несмотря на распространённое мнение о роли ГУЛага в советской экономике, на деле на его долю приходилось освоение только 10 % капиталовложений в капитальном строительстве. Однако в некоторых отраслях значение ГУЛага было больше: в добыче угля, металлов, руды, в том числе золота и урана, алмазов, кобальта, апатитов.",26,0
Были ли иосиф бездетным?,"О жизни его, кроме обстоятельств рождения Христа, известно мало, хотя апокрифическая литература и старалась восполнить этот пробел. Некоторые источники сообщают, что Иосиф был женат дважды. Мария была второй женой и от первого брака у него осталось шесть детей: четыре сына и две дочери. Полагают, что он скончался в возрасте около ста лет, по-видимому вскоре после посещения Иерусалима с 12-летним Иисусом Христом, так как о нём после того уже не упоминается. Под его именем известно апокрифическое евангелие: «История Иосифа-плотника».",27,0
Была ли инфляция в ссср?,"Денежная реформа в СССР 1947 года была проведена 16 декабря - 29 декабря 1947 года. Она не только корректировала последствия войны в денежном обращении, но и последовательно реализовывала основные принципы советской денежно-кредитной политики, на которых ранее строились так называемые «финансовые манёвры» 1930-40 -х годов, введение ''карточной системы'' - , займы и иные специфические мероприятия по изъятию у населения излишней денежной массы, и особенно, валюты. Принято считать, что это была вторая по счёту денежная реформа в СССР. Как показывает исторический опыт, статус «денежной реформы»  может быть «присвоен» тремя путями: официально; средствами массовой информации  или научным сообществом . Преобразования 1947 г. изначально были официально представлены как «реформа»  высшим политическим руководством СССР в инициирующем  реформу документе.",28,1
Правда ли что золотая орда это миф?,"Война Тимура с Тохтамышем  — вооружённый конфликт XIV века. Битвы, прошедшие в 1391 и 1395 гг., оказали колоссальное влияние на дальнейший ход истории всего Евразийского континента. Практически все историки отмечают, что удар Тимура для Золотой Орды был роковым. В 1359—1380 годах в Золотой Орде была, выражаясь словами русских летописей, «великая замятня»: на золотоордынском престоле сменилось более 25 ханов, а многие улусы попытались стать независимыми. В 1370-х годах возвысился хан Сырдарьинского улуса Урус-хан.",29,0
Входит ли финляндия в скандинавию?,"Страны Северной Европы — культурно-политико-географический регион в Северной Европе и Северной Атлантике, включающий в себя государства Скандинавии — Данию , Швецию и Норвегию — и исторически связанные с ними государства Финляндию  и Исландию. Иногда все эти государства называют скандинавскими странами или Скандинавией, что не совсем корректно. Понятие страны Северной Европы включает в себя понятие Скандинавия, но гораздо шире последнего. В понятие Скандинавия, как правило, не включают территории, находящиеся за пределами Европы , острова, находящиеся на большом удалении от Скандинавского полуострова,  и Финляндию. Страны Северной Европы расположены в северо-западной части Европы  и на островах северной Атлантики  и Северного Ледовитого океана .",30,0
Есть ли у человека инстинкты?,"Инстинкт самосохранения — это врожденная форма поведения живых существ в случае возникновения опасности, действия по спасению себя от этой опасности. Реализации этого инстинкта служат такие чувства, как боль и страх. Боль ощущается обычно как аномальное состояние организма, которое необходимо каким-либо образом устранить. Страх заставляет живое существо искать убежище и иногда провоцирует выброс в кровь адреналина. Термин «самосохранение» применяется и в переносном смысле, например, для описания адаптации человека в социуме с целью избежать эмоциональных и психологических травм.",31,1
"Были ли римские торговые суда более вытянутыми, чем военные?","Ри́мский торго́вый кора́бль — парусное судно в Древнем Риме. Римские торговые и транспортные суда собирательно именовались лат. naves rotundae в отличие от лат. naves longae, как назывались корабли военно-морского флота. У первых соотношение максимальной длины и ширины обычно составляло 4:1, у вторых — 6:1 и более.",32,0
Была ли государственность в казахстане?,"Каза́хская Советская Социалистическая Республика  — союзная республика, входившая в состав Союза ССР. В настоящее время суверенное государство — Казахстан. Историческими предшественницами Казахской ССР была череда советских автономных образований в составе Российской СФСР. 10 июля 1919 года Оренбург был образован Киргизский край, на основе которого 26 августа 1920 года была образована Киргизской АССР со столицей в Оренбурге. В результате национально-государственного размежевания Средней Азии в 1924—1925 годах практически все территории, на которых преобладало казахское население, были соединены в составе единой казахской автономии, а в феврале 1925 года Оренбургская область была выведена из состава Киргизской АССР и передана в непосредственное подчинение РСФСР.",33,1
Была ли звезда на флаге ссср?,"При этом описание флага было несущественно изменено: Военно-морской флаг Союза ССР — прямоугольный красный флаг с отношением длины к ширине 3:2. В центре флага белый круг , внутри которого красная пятиконечная звезда обращённая одним концом вверх. Внутри звезды помещены белый серп и молот. Круг имеет диаметр, равный половине ширины флага, а звезда 5/6 диаметра круга. От белого круга  к углам и серединам сторон — восемь расходящихся белых лучей, ширина которых у круга 1/24, а у кромок флага 1/10 ширины последнего.",34,1
Входит норвегия в евросоюз?,"Однако, этому противостоят фермеры и рыбная промышленность, поскольку это создаст дополнительную конкуренцию для местных производителей. Свобода передвижения рабочей силы в Европейском союзе относится и к норвежцам, кроме того Норвегия является частью Шенгенской зоны. Норвегии были предоставлены права участия  в нескольких программах, органах и инициативах ЕС. К ним относятся такие области безопасности и обороны, как: Европейское оборонное агентство, Скандинавская боевая группа, Frontex, Европол и Европейский центр мониторинга наркотиков и наркомании. Общий финансовый вклад Норвегии, связанный с соглашением о ЕЭЗ, состоит из взносов, связанных с участием в этих проектах развития для сокращения социального и экономического неравенства в ЕС .",35,0
Анальгин усиливает боль?,"Анальге́тик , обезбо́ливающее, болеутоля́ющее — лекарственное средство природного, полусинтетического и синтетического происхождения, предназначенное для снятия болевых ощущений — анальгезии. До появления современных анальгетиков для снятия боли использовались различные способы снятия болевых ощущений: например, при проведении операции их утоляли алкоголем, скополамином, опием, индийской коноплей. В крайних случаях использовали и действия, противоречащие медицине: употребление грубой силы, например, удар по голове, приводящий к потере сознания, или частичные удушения для того же эффекта. В народной медицине для снятия жара и боли использовали кору ивы. Как позже было установлено, в коре ивы содержится вещество салицин, который при гидролизе превращается в салициловую кислоту, обладающую противовоспалительным и болеутоляющим действием. Ацетилсалициловая кислота была синтезирована ещё в 1853 году и применялась в медицине до 1899 года: за эти 46 лет накопились данные по её эффективности при артрите и хорошей переносимости.",36,0
Был ли персидский осетр в азовском море?,"В начале XX века лов осетровых рыб в России был гораздо больше, чем во всех остальных странах, взятых вместе. Главными центрами промысла являлись моря Каспийское и Азовское с Чёрным и реки, впадающие в них, преимущественно протекающие в пределах России. Размеры промысла здесь были громадны, несмотря на значительное уменьшение количества осетровых рыб вообще. Здесь ловился русский осётр, шип, севрюга и стерлядь, а в Каспийском море, кроме того, персидский осётр. В реках Балтийского бассейна и в Балтийском море ловился лишь немецкий осётр и, в сравнительно малом количестве, в реках бассейна Европейского Ледовитого океана стерлядь и изредка сибирский осётр.",37,0
Был ли рыбный дождь?,"До́ждь из живо́тных — редкое метеорологическое явление, отмеченное во многих странах в разное время. Чаще всего такой дождь состоит из рыб или лягушек, хотя описаны случаи и дождя из птиц. В некоторых случаях дождь достигает такой силы, что животные падают на землю в виде фрагментов. Иногда животные выживают после падения, заставляя предположить, что между «взлётом» и «падением» животного прошло довольно небольшое время. В ряде случаев животные падают обмороженные или замерзшие в кусках льда, показывая тем самым, что высота «взлёта» была очень большой, и они оказались в облаках, где температура атмосферы ниже 0 °C.",38,1
Передается ли молочница в презервативе?,"Для предупреждения важно соблюдать правила личной и половой гигиены, своевременно лечить воспалительные и инфекционные заболевания. Основным способом профилактики является использование презервативов. При данном заболевании отмечают частое мочеиспускание, в моче обнаруживают кровь и примеси гноя. Болезнь может быть следствием травм уретры при неудачной катетеризации или ущемлении мочевого камня. Её лечат с помощью дезинфицирующих растворов, которыми промывают уретру.",39,0
Водятся ли в украине крокодилы?,"Крокодилы встречаются в основном в тропических низинах, но аллигаторы обитают в более холодных регионах на юго-востоке США и в реке Янцзы в Китае. Все нынешние крокодилы — специализированные полуводные хищники, использующие в пищу широкий спектр водных, околоводных и приходящих на водопой животных. Некоторые виды, такие как гангский гавиал, имеют довольно узкий спектр питания. Крокодилы, как правило, одиночные и территориальные животные, хотя многие виды в целом терпимы к своим сородичам. Во время размножения доминирующие самцы всегда придерживаются своей территории и как правило являются полигамными по отношению к самкам.",40,0
 Правда ли что в ссср дефицита не было?,"Товарный дефицит в СССР — явление, присущее советской плановой экономике, постоянный недостаток отдельных товаров и услуг, которые покупатели не могли приобрести, несмотря на наличие денежных средств. В тех или иных масштабах и разных сферах жизни товарный дефицит был характерен практически для всей истории существования СССР и сформировал «экономику продавца» — производители и система торговли в условиях планового хозяйствования не были заинтересованы в качественном сервисе, своевременных поставках, рекламе, привлекательном дизайне и поддержании высокого качества товаров. К тому же, из-за проблем, характерных для плановой экономики страны, периодически исчезали из продажи даже самые обычные товары первой необходимости. Данное явление относилось не только к производству промтоваров массового потребления, но и, в значительной степени, к крупному промышленному производству. Существует мнение, что дефицит является неотъемлемым свойством плановой экономики, поскольку централизованное планирование не в состоянии учесть ни огромное число товарных позиций, ни постоянно изменяющиеся потребности людей.",41,0
Существовал ли чингисхан?,"Чингисха́н , собственное имя — Тэмуджин, Темучин, Темучжин   — основатель и первый великий хан  Монгольской империи, объединивший разрозненные монгольские и тюркские племена; полководец, организовавший завоевательные походы монголов в Китай, Среднюю Азию, на Кавказ и Восточную Европу. Основатель самой крупной в истории человечества континентальной империи. После смерти в 1227 году наследниками империи стали его прямые потомки от первой жены Бортэ по мужской линии, так называемые чингизиды. Согласно «Сокровенному сказанию», предком Чингисхана был Бортэ-Чино, который породнился с Гоа-Марал и поселился в Хэнтэе  вблизи горы Бурхан-Халдун. По предположению Рашид ад-Дина, это событие состоялось в середине VIII века.",42,1
Есть ли дед мороз?,"Дед Моро́з — главный сказочный персонаж на празднике Нового года, славянский вариант рождественского дарителя. Известен  с 1840 года, но создание канонического образа Деда Мороза как обязательного персонажа новогоднего, а не рождественского праздника произошло в советское время и относится к концу 1930-х годов, когда после нескольких лет запрета вновь была разрешена ёлка. Прообразами Деда Мороза являются персонаж славянского сказочного фольклора и календарных обрядов и Святой Николай. Дед Мороз изображается как старик в цветной — голубой, синей, красной или белой шубе, с длинной белой бородой и посохом в руке, в валенках. Ездит на тройке лошадей.",43,0
Был ли древний рим?,"Дре́вний Рим — одна из цивилизаций Древнего мира, государство Античности, получила своё название по главному городу , в свою очередь названному в честь легендарного основателя — Ромула. Центр Рима сложился в пределах болотистой равнины, ограниченной Капитолием, Палатином и Квириналом. Определённое влияние на становление древнеримской цивилизации оказали культуры этрусков и древних греков. Пика своего могущества Древний Рим достиг во II веке н. э., когда под его контролем оказалось пространство от современной Англии на севере до Судана на юге и от Ирака на востоке до Португалии на западе. Современному миру Древний Рим подарил римское право, некоторые архитектурные формы и решения  и множество других новшеств .",44,1
Есть ли глютен в киноа?,"В отличие от пшеницы и риса, содержащих малое количество лизина, аминокислотный состав белков киноа очень сбалансирован и близок к составу белков молока, количество аминокислот до 20 типов. Помимо белков, киноа содержит также углеводы, жиры , клетчатку, минералы и витамины группы B. Киноа, кроме того, богата фосфором , железом , кальцием, цинком. Киноа не содержит глютена и может использоваться для питания при целиакии и болезни Крона. В середине 2000-х годов пищевые свойства киноа привлекли внимание активистов здорового питания по всему миру и это привело к росту импорта киноа в Западную Европу и США, а также к значительному росту цен. В частности, в период с 2007 по 2013 год импорт киноа в США увеличился примерно в 10 раз, с 3,3 тысяч тонн в 2007 до оценочных 30,8 тысяч тонн в 2013 по данным таможенной службы США.",45,0
Есть ли у ужа яд?,"Ужи, или Настоящие ужи  — род неядовитых змей семейства ужеобразных. Настоящие ужи — змеи средних размеров, хотя отдельные особи могут достигать 1,2—2,4 метра в длину. Характеризуются чешуей с отчётливо выраженными рёбрышками, треугольными межносовыми щитками, разделённым анальным щитком. Зубы на верхнечелюстных костях увеличиваются в размерах по направлению вглубь пасти, последние 1—2 зуба наиболее крупные. Зрачки круглые, ноздри направлены в стороны и вверх.",46,0
